Ref,Val,Package,PosX,PosY,Rot,Side
"D72","BAV16W","D_SOD-123",90.850000,-105.500000,180.000000,bottom
"D73","BAV16W","D_SOD-123",110.000000,-29.500000,180.000000,bottom
"D74","BAV16W","D_SOD-123",110.000000,-48.500000,180.000000,bottom
"D75","BAV16W","D_SOD-123",110.100000,-67.500000,180.000000,bottom
"D76","BAV16W","D_SOD-123",110.000000,-86.500000,180.000000,bottom
"D77","BAV16W","D_SOD-123",110.000000,-105.500000,180.000000,bottom
"D78","BAV16W","D_SOD-123",129.000000,-29.500000,180.000000,bottom
"D79","BAV16W","D_SOD-123",129.000000,-48.500000,180.000000,bottom
"D80","BAV16W","D_SOD-123",129.000000,-67.750000,180.000000,bottom
"D81","BAV16W","D_SOD-123",129.000000,-86.500000,180.000000,bottom
"D82","BAV16W","D_SOD-123",148.000000,-30.000000,180.000000,bottom
"D83","BAV16W","D_SOD-123",148.000000,-48.750000,180.000000,bottom
"D84","BAV16W","D_SOD-123",148.000000,-67.500000,180.000000,bottom
"D85","BAV16W","D_SOD-123",147.750000,-86.500000,180.000000,bottom
"D86","BAV16W","D_SOD-123",148.000000,-105.500000,180.000000,bottom
"D87","BAV16W","D_SOD-123",167.000000,-29.500000,180.000000,bottom
"D88","BAV16W","D_SOD-123",167.000000,-48.500000,180.000000,bottom
"D89","BAV16W","D_SOD-123",167.000000,-67.500000,180.000000,bottom
"D90","BAV16W","D_SOD-123",167.000000,-86.500000,180.000000,bottom
"D91","BAV16W","D_SOD-123",186.000000,-29.750000,180.000000,bottom
"D92","BAV16W","D_SOD-123",186.000000,-48.500000,180.000000,bottom
"D93","BAV16W","D_SOD-123",186.000000,-67.500000,180.000000,bottom
"D94","BAV16W","D_SOD-123",185.750000,-86.500000,180.000000,bottom
"D95","BAV16W","D_SOD-123",186.000000,-105.500000,180.000000,bottom
"D96","BAV16W","D_SOD-123",205.000000,-29.500000,180.000000,bottom
"D97","BAV16W","D_SOD-123",204.850000,-48.500000,180.000000,bottom
"D98","BAV16W","D_SOD-123",205.000000,-67.500000,180.000000,bottom
"D99","BAV16W","D_SOD-123",205.000000,-86.500000,180.000000,bottom
"D100","BAV16W","D_SOD-123",205.000000,-105.500000,180.000000,bottom
"D101","BAV16W","D_SOD-123",223.850000,-29.500000,180.000000,bottom
"D102","BAV16W","D_SOD-123",224.000000,-48.500000,180.000000,bottom
"D103","BAV16W","D_SOD-123",223.850000,-67.500000,180.000000,bottom
"D104","BAV16W","D_SOD-123",223.750000,-86.500000,180.000000,bottom
"D105","BAV16W","D_SOD-123",251.500000,-29.750000,0.000000,bottom
"D106","BAV16W","D_SOD-123",247.500000,-48.500000,180.000000,bottom
"D107","BAV16W","D_SOD-123",247.750000,-67.500000,180.000000,bottom
"D108","BAV16W","D_SOD-123",247.600000,-86.500000,180.000000,bottom
"J1","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_HRO_TYPE-C-31-M-12",236.000000,-12.500000,0.000000,bottom
"L1","2n","L_0402_1005Metric_Pad0.77x0.64mm_HandSolder",228.750000,-34.250000,-90.000000,bottom
"L2","24n","L_0402_1005Metric_Pad0.77x0.64mm_HandSolder",231.900000,-36.055000,180.000000,bottom
"R1","5.1K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",242.250000,-18.500000,0.000000,bottom
"R2","5.1K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",233.250000,-20.250000,180.000000,bottom
"R3","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",227.000000,-31.750000,0.000000,bottom
"R4","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",246.250000,-29.500000,90.000000,bottom
"R5","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",228.250000,-15.000000,90.000000,bottom
"R6","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",229.750000,-15.000000,90.000000,bottom
"R7","22","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",234.750000,-24.250000,-90.000000,bottom
"R8","22","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",235.750000,-24.250000,90.000000,bottom
"SW1","SW_Nidec_CAS-120A1","Nidec_Copal_CAS-120A",224.000000,-14.100000,90.000000,bottom
"SW55","SW_MX","Hot_Swap",29.250000,-24.500000,180.000000,bottom
"SW56","SW_MX","Hot_Swap",29.250000,-43.500000,180.000000,bottom
"SW57","SW_MX","Hot_Swap",29.250000,-62.500000,180.000000,bottom
"SW58","SW_MX","Hot_Swap",29.250000,-81.500000,180.000000,bottom
"SW59","SW_MX","Hot_Swap",53.000000,-24.500000,180.000000,bottom
"SW60","SW_MX","Hot_Swap",53.000000,-43.500000,180.000000,bottom
"SW61","SW_MX","Hot_Swap",53.000000,-62.500000,180.000000,bottom
"SW62","SW_MX","Hot_Swap",53.000000,-81.500000,180.000000,bottom
"SW63","SW_MX","Hot_Swap",72.000000,-24.500000,180.000000,bottom
"SW64","SW_MX","Hot_Swap",72.000000,-43.500000,180.000000,bottom
"SW65","SW_MX","Hot_Swap",72.000000,-62.500000,180.000000,bottom
"SW66","SW_MX","Hot_Swap",72.000000,-81.500000,180.000000,bottom
"SW67","SW_MX","Hot_Swap",72.000000,-100.500000,180.000000,bottom
"SW68","SW_MX","Hot_Swap",91.000000,-24.500000,180.000000,bottom
"SW69","SW_MX","Hot_Swap",91.000000,-43.500000,180.000000,bottom
"SW70","SW_MX","Hot_Swap",91.000000,-62.500000,180.000000,bottom
"SW71","SW_MX","Hot_Swap",91.000000,-81.500000,180.000000,bottom
"SW72","SW_MX","Hot_Swap",91.000000,-100.500000,180.000000,bottom
"SW73","SW_MX","Hot_Swap",110.000000,-24.500000,180.000000,bottom
"SW74","SW_MX","Hot_Swap",110.000000,-43.500000,180.000000,bottom
"SW75","SW_MX","Hot_Swap",110.000000,-62.500000,180.000000,bottom
"SW76","SW_MX","Hot_Swap",110.000000,-81.500000,180.000000,bottom
"SW77","SW_MX","Hot_Swap",110.000000,-100.500000,180.000000,bottom
"SW78","SW_MX","Hot_Swap",129.000000,-24.500000,180.000000,bottom
"SW79","SW_MX","Hot_Swap",129.000000,-43.500000,180.000000,bottom
"SW80","SW_MX","Hot_Swap",129.000000,-62.500000,180.000000,bottom
"SW81","SW_MX","Hot_Swap",129.000000,-81.500000,180.000000,bottom
"SW82","SW_MX","Hot_Swap",148.000000,-24.500000,180.000000,bottom
"SW83","SW_MX","Hot_Swap",148.000000,-43.500000,180.000000,bottom
"SW84","SW_MX","Hot_Swap",148.000000,-62.500000,180.000000,bottom
"SW85","SW_MX","Hot_Swap",148.000000,-81.500000,180.000000,bottom
"SW86","SW_MX","Hot_Swap",148.000000,-100.500000,180.000000,bottom
"SW87","SW_MX","Hot_Swap",167.000000,-24.500000,180.000000,bottom
"SW88","SW_MX","Hot_Swap",167.000000,-43.500000,180.000000,bottom
"SW89","SW_MX","Hot_Swap",167.000000,-62.500000,180.000000,bottom
"SW90","SW_MX","Hot_Swap",167.000000,-81.500000,180.000000,bottom
"SW91","SW_MX","Hot_Swap",186.000000,-24.500000,180.000000,bottom
"SW92","SW_MX","Hot_Swap",186.000000,-43.500000,180.000000,bottom
"SW93","SW_MX","Hot_Swap",186.000000,-62.540000,180.000000,bottom
"SW94","SW_MX","Hot_Swap",186.000000,-81.500000,180.000000,bottom
"SW95","SW_MX","Hot_Swap",186.000000,-100.500000,180.000000,bottom
"SW96","SW_MX","Hot_Swap",205.000000,-24.500000,180.000000,bottom
"SW97","SW_MX","Hot_Swap",205.000000,-43.500000,180.000000,bottom
"SW98","SW_MX","Hot_Swap",205.000000,-62.500000,180.000000,bottom
"SW99","SW_MX","Hot_Swap",205.000000,-81.500000,180.000000,bottom
"SW100","SW_MX","Hot_Swap",205.000000,-100.500000,180.000000,bottom
"SW101","SW_MX","Hot_Swap",224.000000,-24.500000,180.000000,bottom
"SW102","SW_MX","Hot_Swap",224.000000,-43.500000,180.000000,bottom
"SW103","SW_MX","Hot_Swap",224.000000,-62.500000,180.000000,bottom
"SW104","SW_MX","Hot_Swap",224.000000,-81.500000,180.000000,bottom
"SW105","SW_MX","Hot_Swap",247.750000,-24.500000,180.000000,bottom
"SW106","SW_MX","Hot_Swap",247.750000,-43.500000,180.000000,bottom
"SW107","SW_MX","Hot_Swap",247.750000,-62.500000,180.000000,bottom
"SW108","SW_MX","Hot_Swap",247.750000,-81.500000,180.000000,bottom
"U1","ESP32-C6","QFN40P500X500X90-41N",234.000000,-31.805000,0.000000,bottom
"U2","XC6220B331MR","SOT-23-5",238.200000,-25.612500,-90.000000,bottom
"U3","~","SOIC127P790X216-8N",242.650000,-31.805000,-90.000000,bottom
"Y1","7M40000049","XTAL_7M40000049",235.000000,-38.600000,-90.000000,bottom
